document_id,clean_text,sentiment
1,best movi ever heath ledger work phenomen word,neutral
2,movi work art finest sequel ever made dont think see anoth movi like long time heath ledger joker best movi characht ever seen far aveng endgam great dark knight much better best batman ever best joker ever best dc movi ever best superhero movi ever ando best movi ever,positive
3,want best movi great stori great act thrill twist watch joker come back give dark knight thank heath ledger except perform,neutral
4,confid direct dark brood pack impress action sequenc complex stori dark knight includ careerdefin turn heath ledger well oscar worthi perform tdk remain best batman movi comic book movi ever creat,positive
5,weve subject enorm amount hype market dark knight weve seen joker scaveng hunt one largest viral campaign advertis histori culmin actual releas movi everyth that said pretti much spot first time rememb summer blockbust film far surpass hype much action movi act make great piec work punch explos stuntwork great dialog work actor moment bale batman definit batman see everyth charact final film martial art skill cun great tactic think forens applic technolog geniu advanc improv lusciou fox inventionstechnolog breakthrough intimid person even littl swashbuckl heath ye get credit perform joker also recogn jonathan chri nolan write treatment charact fact ledger make joker menac nolan given charact great manifesto drive action joker stanc chao order anarchi moral averag modern human make charact interest psycholog nolan draft complex charact perfect perform couldv pull someth like that difficult role that ledger perform great isnt action movi film explor literari theme hero villain well order anarchi ye listen dialog,positive
6,couldnt believ dark knight could live hype that perhap biggest surpris secret believ stun matur intellig script make best superhero movi ever made wasnt enough heath ledger newest tragic modern icon present u preview someth well never see fearless extraordinari actor capabl fill human even grotesqu villain perform master class fortun christian bale batman almost support charact bale good someth around mouth stop great dark knight visual stun power move el could anyon want,positive
7,dark ye complex ambiti christoph nolan cowrit jonathan nolan deserv stand ovat dont usual go loud movi fill mindless gore violenc dark knight certainli loud violent mindless depth soul even joker extraordinari creation heath ledger deepli human natur petul christian bale make ego alter ego fascin complex film superhero part geniu movi batman screen time realli lead attent captiv heath ledger determin inspir breathtak atmospher envelop gotham well u aplomb christoph nolan director mind blow secret believ obviou respect audienc he done elev popular genr shakesperean proport bravo,positive
8,im gonna start say love movieit one favorit time honestli cant think much wrong movi littl long batman infam voic everyth el top notch actingstoryatmosphereand action scene amaz havent seen movi see right went expect much came blown away cant imagin movi much better ill wait dark knight rise releas see anyth better stand best movi ive ever seen,negative
9,someon el act joker would give movi star major peopl end love villain hero rare happend movi rest peac heath ledger,positive
10,pleasur watch movi imax theatr london advertis slogan biggest screen uk one greatest movi experi life first movi imax theatr recommend anyon chanc watch even entir movi shot imax theatr still abl blow someon away great visual combin great stori superb act movi could also call joker even heath ledger great perform still batman movi dark knight clear enough even without batman titl simpli love movi heard complaint friend seem might problem depict charact love heath ledger would want see even crazier plot thread especi done charact aaron eckhart although see might problem fan comic book still stand vote best batman movi ever hope nolan bale make next one,positive
11,realli think better film godfath good bad ugli seven samurai pulp fiction ok joker stand perform rest good realli best film time cant see happen year sink middl pile want examin good evil dualiti man watch king new york better film im say worth see plea best film time may best batman film weve seen frankli enjoy iron man action good stori reason good support act whole experi doesnt move like shawshank redempt wasnt seismic shift filmmak like pulp fiction godfath direct better sergio leon film hasnt hype much come,negative
12,christoph nolan second bundl joy dark knight exceed expect success reboot batman franchis took alreadi establish expand amp gave deeper darker brood stori grip suspens like catch guard sever time throughout christian bale delv deeper batman sworn fight evil injustic though also quit reluct uncertain crusad ever end clean inner turmoil fractur soul due murder belov parent help trust butler alfr play superbl michael cane ground give moral support keep check real star show heath ledger batman deadli enemi joker honestli tell good jack nicholson batman child play compar joker sadist psychot downright scarier psycholog disturb previou incarn clown princ crime ledger give justic along origin cast come fresh face aaron eckhart maggi gyllenha must say though like kati holm gyllenha give much better perform far cri damselindistress stereotyp though there littl thank that common film bale gyllenhal much better chemistri time around holm even better fight sequenc vastli improv featur brutal bone crush combat begin addit new technolog batman dispos also worth mention screenwrit jonathan nolan give film ad frost alreadi delici cake simpli put dark knight total bad as begin action great plot deeper engross applaud christoph nolan christian bale especi heath ledger sadli pas away earlier year aboard believ mr nolan talent second instal although may feel bit melancholi ledger death final note say sincer heart rememb heath ledger honor mind heart perform human father daughter matilda ledger may issu best wish famili friend daughter year come rememb honor role past role incred individu talent actor rest peac heath ledger,positive
13,saw dark knight three year ago th grade blown away beauti done camera work act stori took surpris day one best movi ever seen see movi impact intens way dark knight movi worth see due fact worker put much time effort one film want wast money put garbag christoph nolan thank wast time instead earn time film day still anxiou see movi home recommend anyon like action movi gener anyon doesnt dont wast time write bad review film,positive
